cleaned_musician,musician,ethnicity,shared_award,Column1
50 Cent,50 Cent,UR,,
Abba,Abba,white,,
Ace of Base,Ace of Base,white,,
Adele,Adele,white,,
Alabama Shakes,Alabama Shakes,UR,,
Alanis Morissette,Alanis Morissette,white,,
Alessia Cara,Alessia Cara,white,,
Alicia Keys,Alicia Keys,UR,,
Alison Krauss  Robert Plant,Alison Krauss & Robert Plant,white,,
Amy Grant,Amy Grant,white,,
Amy Winehouse,Amy Winehouse,white,,
AndersonPaak,Anderson.Paak,UR,,
Andrea Bocelli,Andrea Bocelli,white,,
Anitta,Anitta,UR,,
Annie Lennox,Annie Lennox,white,,
Arcade Fire,Arcade Fire,white,,
Ariana Grande,Ariana Grande,white,,
Arlo Parks,Arlo Parks,UR,,
Arooj Aftab,Arooj Aftab,UR,,
Arrested Development,Arrested Development,UR,,
Ashanti,Ashanti,white,,
Avril Lavigne,Avril Lavigne,white,,
BoB featuring Bruno Mars,B.o.B featuring Bruno Mars,UR,,
Baby Keem,Baby Keem,UR,,
Babyface,Babyface,UR,,
Backstreet Boys,Backstreet Boys,white,,
Bad Bunny,Bad Bunny,UR,,
Bad Bunny  J Balvin,Bad Bunny & J Balvin,UR,,
Bastille,Bastille,white,,
Bebe Rexha,Bebe Rexha,white,,
Beck,Beck,white,,
Belly,Belly,UR,,
Bette Midler,Bette Midler,white,,
Beyonce,Beyonce,UR,,
Beyonce  JayZ,Beyonce & Jay-Z,UR,,
Billie Eilish,Billie Eilish,white,,
Billy Joel,Billy Joel,white,,
Billy Ray Cyrus,Billy Ray Cyrus,white,,
Black Crowes,Black Crowes,white,,
Black Eyed Peas,Black Eyed Peas,UR,,
Black Eyed Peas  Justin Timberlake,Black Eyed Peas & Justin Timberlake,white,,
Black Keys,Black Keys,white,,
Black Pumas,Black Pumas,UR,,
Blind Melon,Blind Melon,white,,
Bob Dylan,Bob Dylan,UR,,
Bon Iver,Bon Iver,white,,
Bonnie Raitt,Bonnie Raitt,white,,
Boyz II Men,Boyz II Men,UR,,
Brad Paisley,Brad Paisley,white,,
Brandi Carlile,Brandi Carlile,white,,
Brandi Carlile Featuring Lucius,Brandi Carlile Featuring Lucius,white,,
Brandy,Brandy,UR,,
Brandy  Monica,Brandy & Monica,UR,,
Brandy Clark,Brandy Clark,white,,
Britney Spears,Britney Spears,white,,
Bruce Springsteen,Bruce Springsteen,white,,
Bruno Mars,Bruno Mars,UR,,
Bryan Adams,Bryan Adams,white,,
CC Music Factory,C&C Music Factory,UR,,
Cardi B,Cardi B,UR,,
Carrie Underwood,Carrie Underwood,white,,
Cee Lo Green,Cee Lo Green,UR,,
Celine Dion,Celine Dion,white,,
Celine Dion  Peabo Bryson,Celine Dion & Peabo Bryson,UR,shared,
Chainsmokers,Chainsmokers,white,,
Chance the Rapper,Chance the Rapper,UR,,
Cher,Cher,white,,
Chika,Chika,UR,,
Childish Gambino,Childish Gambino,UR,,
Chloe x Halle,Chloe x Halle,UR,,
