year,musician,work,category,status,cleaned_musician
2022,Jon Batiste,We Are,album-of-the-year,winner,Jon Batiste
2022,Tony Bennett & Lady Gaga,Love for Sale,album-of-the-year,nominee,Tony Bennett  Lady Gaga
2022,Justin Bieber,Justice,album-of-the-year,nominee,Justin Bieber
2022,Doja Cat,Planet Her,album-of-the-year,nominee,Doja Cat
2022,Billie Eilish,Happier Than Ever,album-of-the-year,nominee,Billie Eilish
2022,H.E.R.,Back of My Mind,album-of-the-year,nominee,HER
2022,Lil Nas X,Montero,album-of-the-year,nominee,Lil Nas X
2022,Olivia Rodrigo,Sour,album-of-the-year,nominee,Olivia Rodrigo
2022,Taylor Swift,Evermore,album-of-the-year,nominee,Taylor Swift
2022,Kanye West,Donda,album-of-the-year,nominee,Kanye West
2021,Taylor Swift,Folklore,album-of-the-year,winner,Taylor Swift
2021,Jhene Aiko,Chilombo,album-of-the-year,nominee,Jhene Aiko
2021,Black Pumas,Black Pumas (Deluxe Edition),album-of-the-year,nominee,Black Pumas
2021,Coldplay,Everyday Life,album-of-the-year,nominee,Coldplay
2021,Jacob Collier,Djesse Vol. 3,album-of-the-year,nominee,Jacob Collier
2021,Haim,Women in Music Pt. III,album-of-the-year,nominee,Haim
2021,Dua Lipa,Future Nostalgia,album-of-the-year,nominee,Dua Lipa
2021,Post Malone,Hollywood’s Bleeding,album-of-the-year,nominee,Post Malone
2020,"Where Do We Go?, Billie Eilish","When We All Fall Asleep, Where Do We Go?",album-of-the-year,winner,Where Do We Go Billie Eilish
2020,Bon Iver,"i, i",album-of-the-year,nominee,Bon Iver
2020,Lana Del Rey,Norman Fucking Rockwell,album-of-the-year,nominee,Lana Del Rey
2020,H.E.R.,I Used to Know Her,album-of-the-year,nominee,HER
2020,Ariana Grande,"Thank U, Next",album-of-the-year,nominee,Ariana Grande
2020,Lil Nas X,7,album-of-the-year,nominee,Lil Nas X
2020,Lizzo,Cuz I Love You (Deluxe),album-of-the-year,nominee,Lizzo
2020,Vampire Weekend,Father of the Bride,album-of-the-year,nominee,Vampire Weekend
2019,Kacey Musgraves,Golden Hour,album-of-the-year,winner,Kacey Musgraves
2019,Cardi B,Invasion of Privacy,album-of-the-year,nominee,Cardi B
2019,Brandi Carlile,"By the Way, I Forgive You",album-of-the-year,nominee,Brandi Carlile
2019,Drake,Scorpion,album-of-the-year,nominee,Drake
2019,H.E.R.,H.E.R.,album-of-the-year,nominee,HER
2019,Kendrick Lamar & others,Black Panther: The Album,album-of-the-year,nominee,Kendrick Lamar  others
2019,Post Malone,Beerbongs & Bentleys,album-of-the-year,nominee,Post Malone
2019,Janelle Monae,Dirty Computer,album-of-the-year,nominee,Janelle Monae
2018,Bruno Mars,24K Magic,album-of-the-year,winner,Bruno Mars
2018,Childish Gambino,Awaken My Love,album-of-the-year,nominee,Childish Gambino
2018,Jay-Z,4:44,album-of-the-year,nominee,JayZ
2018,Kendrick Lamar,DAMN,album-of-the-year,nominee,Kendrick Lamar
2018,Lorde,Melodrama,album-of-the-year,nominee,Lorde
2017,Adele,25,album-of-the-year,winner,Adele
2017,Beyonce,Lemonade,album-of-the-year,nominee,Beyonce
2017,Justin Bieber,Purpose,album-of-the-year,nominee,Justin Bieber
2017,Drake,Views,album-of-the-year,nominee,Drake
2017,Sturgill Simpson,A Sailor’s Guide to Earth,album-of-the-year,nominee,Sturgill Simpson
2016,Taylor Swift,1989,album-of-the-year,winner,Taylor Swift
2016,Alabama Shakes,Sound & Color,album-of-the-year,nominee,Alabama Shakes
2016,Kendrick Lamar,To Pimp a Butterfly,album-of-the-year,nominee,Kendrick Lamar
2016,Chris Stapleton,Traveller,album-of-the-year,nominee,Chris Stapleton
2016,the Weeknd,Beauty Behind the Madness,album-of-the-year,nominee,the Weeknd
2015,Beck,Morning Phase,album-of-the-year,winner,Beck
2015,Beyonce,Beyonce,album-of-the-year,nominee,Beyonce
2015,Pharrell Williams,Girl,album-of-the-year,nominee,Pharrell Williams
2015,Sam Smith,In the Lonely Hour,album-of-the-year,nominee,Sam Smith
2015,Ed Sheeran,X,album-of-the-year,nominee,Ed Sheeran
2014,Daft Punk,Random Access Memories,album-of-the-year,winner,Daft Punk
2014,Sara Bareilles,The Blessed Unrest,album-of-the-year,nominee,Sara Bareilles
2014,Kendrick Lamar,"Good Kid, m.a.a.d City",album-of-the-year,nominee,Kendrick Lamar
2014,Macklemore & Ryan Lewis,The Heist,album-of-the-year,nominee,Macklemore  Ryan Lewis
2014,Taylor Swift,Red,album-of-the-year,nominee,Taylor Swift
2013,Mumford & Sons,Babel,album-of-the-year,winner,Mumford  Sons
2013,Black Keys,El Camino,album-of-the-year,nominee,Black Keys
2013,Frank Ocean,Channel Orange,album-of-the-year,nominee,Frank Ocean
2013,fun.,Some Nights,album-of-the-year,nominee,fun
2013,Jack White,Blunderbuss,album-of-the-year,nominee,Jack White
2012,Adele,21,album-of-the-year,winner,Adele
2012,Foo Fighters,Wasting Light,album-of-the-year,nominee,Foo Fighters
2012,Lady Gaga,Born This Way,album-of-the-year,nominee,Lady Gaga
2012,Bruno Mars,Doo Wops and Hooligans,album-of-the-year,nominee,Bruno Mars
2012,Rihanna,Loud,album-of-the-year,nominee,Rihanna
2011,Arcade Fire,The Suburbs,album-of-the-year,winner,Arcade Fire
2011,Eminem,Recovery,album-of-the-year,nominee,Eminem
2011,Lady Antebellum,Need You Now,album-of-the-year,nominee,Lady Antebellum
2011,Lady Gaga,The Fame Monster,album-of-the-year,nominee,Lady Gaga
2011,Katy Perry,Teenage Dream,album-of-the-year,nominee,Katy Perry
2010,Taylor Swift,Fearless,album-of-the-year,winner,Taylor Swift
2010,Beyonce,I Am…Sasha Fierce,album-of-the-year,nominee,Beyonce
2010,Black Eyed Peas,The E.N.D.,album-of-the-year,nominee,Black Eyed Peas
2010,Lady Gaga,The Fame,album-of-the-year,nominee,Lady Gaga
2010,Dave Matthews Band,Big Whiskey and the GrooGrux King,album-of-the-year,nominee,Dave Matthews Band
2009,Robert Plant & Alison Krauss,Raising Sand,album-of-the-year,winner,Robert Plant  Alison Krauss
2009,Coldplay,Viva la Vida or Death and All His Friends,album-of-the-year,nominee,Coldplay
2009,Ne-Yo,Year of the Gentleman,album-of-the-year,nominee,NeYo
2009,Radiohead,In Rainbows,album-of-the-year,nominee,Radiohead
2009,Lil Wayne,Tha Carter III,album-of-the-year,nominee,Lil Wayne
2008,Herbie Hancock,River: The Joni Letters,album-of-the-year,winner,Herbie Hancock
2008,Foo Fighters,"Echoes, Silence, Patience & Grace",album-of-the-year,nominee,Foo Fighters
2008,Vince Gill,These Days,album-of-the-year,nominee,Vince Gill
2008,Kanye West,Graduation,album-of-the-year,nominee,Kanye West
2008,Amy Winehouse,Back to Black,album-of-the-year,nominee,Amy Winehouse
2007,Dixie Chicks,Taking the Long Way,album-of-the-year,winner,Dixie Chicks
2007,Gnarls Barkley,St. Elsewhere,album-of-the-year,nominee,Gnarls Barkley
2007,John Mayer,Continuum,album-of-the-year,nominee,John Mayer
2007,Red Hot Chili Peppers,Stadium Arcadium,album-of-the-year,nominee,Red Hot Chili Peppers
2007,Justin Timberlake,FutureSex/LoveSounds,album-of-the-year,nominee,Justin Timberlake
2006,U2,How to Dismantle an Atomic Bomb,album-of-the-year,winner,U2
2006,Mariah Carey,The Emancipation of Mimi,album-of-the-year,nominee,Mariah Carey
2006,Paul McCartney,Chaos and Creation in the Backyard,album-of-the-year,nominee,Paul McCartney
2006,Gwen Stefani,Love.Angel.Music.Baby,album-of-the-year,nominee,Gwen Stefani
2006,Kanye West,Late Registration,album-of-the-year,nominee,Kanye West
2005,Ray Charles,Genius Loves Company,album-of-the-year,winner,Ray Charles
2005,Green Day,American Idiot,album-of-the-year,nominee,Green Day
2005,Alicia Keys,The Diary of Alicia Keys,album-of-the-year,nominee,Alicia Keys
2005,Usher,Confessions,album-of-the-year,nominee,Usher
2005,Kanye West,The College Dropout,album-of-the-year,nominee,Kanye West
2004,Outkast,Speakerboxxx/The Love Below,album-of-the-year,winner,Outkast
2004,Missy Elliott,Under Construction,album-of-the-year,nominee,Missy Elliott
2004,Evanescence,Fallen,album-of-the-year,nominee,Evanescence
2004,Justin Timberlake,Justified,album-of-the-year,nominee,Justin Timberlake
2004,White Stripes,Elephant,album-of-the-year,nominee,White Stripes
2003,Norah Jones,Come Away With Me,album-of-the-year,winner,Norah Jones
2003,Dixie Chicks,Home,album-of-the-year,nominee,Dixie Chicks
2003,Eminem,The Eminem Show,album-of-the-year,nominee,Eminem
2003,Nelly,Nellyville,album-of-the-year,nominee,Nelly
2003,Bruce Springsteen,The Rising,album-of-the-year,nominee,Bruce Springsteen
2002,"Where Art Thou?, soundtrack","O Brother, Where Art Thou?",album-of-the-year,winner,Where Art Thou soundtrack
2002,India.Arie,Acoustic Soul,album-of-the-year,nominee,IndiaArie
2002,Bob Dylan,Love and Theft,album-of-the-year,nominee,Bob Dylan
2002,Outkast,Stankonia,album-of-the-year,nominee,Outkast
2002,U2,All That You Can’t Leave Behind,album-of-the-year,nominee,U2
2001,Steely Dan,Two Against Nature,album-of-the-year,winner,Steely Dan
2001,Beck,Midnite Vultures,album-of-the-year,nominee,Beck
2001,Eminem,The Marshall Mathers LP,album-of-the-year,nominee,Eminem
2001,Radiohead,Kid A,album-of-the-year,nominee,Radiohead
2001,Paul Simon,You’re the One,album-of-the-year,nominee,Paul Simon
2000,Santana,Supernatural,album-of-the-year,winner,Santana
2000,Backstreet Boys,Millennium,album-of-the-year,nominee,Backstreet Boys
2000,Dixie Chicks,Fly,album-of-the-year,nominee,Dixie Chicks
2000,Diana Krall,When I Look in Your Eyes,album-of-the-year,nominee,Diana Krall
2000,TLC,FanMail,album-of-the-year,nominee,TLC
1999,Lauryn Hill,The Miseducation of Lauryn Hill,album-of-the-year,winner,Lauryn Hill
1999,Madonna,Ray of Light,album-of-the-year,nominee,Madonna
1999,Sheryl Crow,The Globe Sessions,album-of-the-year,nominee,Sheryl Crow
1999,Garbage,Version 2.0,album-of-the-year,nominee,Garbage
1999,Shania Twain,Come on Over,album-of-the-year,nominee,Shania Twain
1998,Bob Dylan,Time Out of Mind,album-of-the-year,winner,Bob Dylan
