musician
Jon Batiste
Tony Bennett  Lady Gaga
Justin Bieber
Doja Cat
Billie Eilish
HER
Lil Nas X
Olivia Rodrigo
Taylor Swift
Kanye West
Jhene Aiko
Black Pumas
Coldplay
Jacob Collier
Haim
Dua Lipa
Post Malone
Where Do We Go Billie Eilish
Bon Iver
Lana Del Rey
Ariana Grande
Lizzo
Vampire Weekend
Kacey Musgraves
Cardi B
Brandi Carlile
Drake
Kendrick Lamar  others
Janelle Monae
Bruno Mars
Childish Gambino
JayZ
Kendrick Lamar
Lorde
Adele
Beyonce
Sturgill Simpson
Alabama Shakes
Chris Stapleton
the Weeknd
Beck
Pharrell Williams
Sam Smith
Ed Sheeran
Daft Punk
Sara Bareilles
Macklemore  Ryan Lewis
Mumford  Sons
Black Keys
Frank Ocean
fun
Jack White
Foo Fighters
Lady Gaga
Rihanna
Arcade Fire
Eminem
Lady Antebellum
Katy Perry
Black Eyed Peas
Dave Matthews Band
Robert Plant  Alison Krauss
NeYo
Radiohead
Lil Wayne
Herbie Hancock
Vince Gill
Amy Winehouse
Dixie Chicks
Gnarls Barkley
John Mayer
Red Hot Chili Peppers
Justin Timberlake
U2
Mariah Carey
Paul McCartney
Gwen Stefani
Ray Charles
Green Day
Alicia Keys
Usher
Outkast
Missy Elliott
Evanescence
White Stripes
Norah Jones
Nelly
Bruce Springsteen
Where Art Thou soundtrack
IndiaArie
Bob Dylan
Steely Dan
Paul Simon
Santana
Backstreet Boys
Diana Krall
TLC
Lauryn Hill
Madonna
Sheryl Crow
Garbage
Shania Twain
Babyface
Paula Cole
Celine Dion
Fugees
Smashing Pumpkins
soundtrack
Alanis Morissette
Michael Jackson
Joan Osborne
Pearl Jam
Tony Bennett
Zubin Mehta
Eric Clapton
Bonnie Raitt
Seal
Whitney Houston
Donald Fagen
Billy Joel
REM
Sting
kd lang
Annie Lennox
Natalie Cole
Amy Grant
Quincy Jones
Phil Collins
MC Hammer
Wilson Phillips
Don Henley
Fine Young Cannibals
Tom Petty
Traveling Wilburys
Silk Sonic
Abba
Justin Bieber featuring Daniel Caesar  Giveon
Doja Cat featuring SZA
DaBaby featuring Roddy Ricch
Megan Thee Stallion featuring Beyonce
Khalid
Lil Nas X featuring Billy Ray Cyrus
Post Malone  Swae Lee
Bad Bunny  J Balvin
Lady Gaga  Bradley Cooper
Kendrick Lamar  SZA
Post Malone featuring 21 Savage
Maren Morris  Grey
Luis Fonsi  Daddy Yankee featuring Justin Bieber
Lukas Graham
Rihanna featuring Drake
Twenty One Pilots
Mark Ronson featuring Bruno Mars
DAngelo
Iggy Azalea featuring Charli XCX
Meghan Trainor
Sia
Daft Punk featuring Pharrell Williams  Nile Rodgers
Imagine Dragons
Robin Thicke featuring TI  Pharrell Williams
Gotye featuring Kimbra
Kelly Clarkson
fun featuring Janelle Monae
BoB featuring Bruno Mars
Eminem featuring Rihanna
Cee Lo Green
JayZ featuring Alicia Keys
Kings of Leon
Alison Krauss  Robert Plant
Leona Lewis
MIA
Rihanna featuring JayZ
Mary J Blige
James Blunt
Corinne Bailey Rae
Gorillaz
Ray Charles and Norah Jones
Los Lonely Boys
Usher featuring Lil Jon  Ludacris
Beyonce  JayZ
Black Eyed Peas  Justin Timberlake
Vanessa Carlton
Nelly  Kelly Rowland
Nickelback
Train
Destinys Child
Macy Gray
N Sync
Santana featuring Rob Thomas
Cher
Ricky Martin
Brandy  Monica
Goo Goo Dolls
Shawn Colvin
Hanson
R Kelly
Tracy Chapman
Mariah Carey  Boyz II Men
Coolio featuring LV
Boyz II Men
Mary Chapin Carpenter
Peabo Bryson  Regina Belle
Neil Young
Billy Ray Cyrus
Celine Dion  Peabo Bryson
Vanessa Williams
Natalie Cole with Nat King Cole
Bryan Adams
Bette Midler
Sinead OConnor
Mike  the Mechanics
Arooj Aftab
Jimmie Allen
Baby Keem
Finneas
Glass Animals
Japanese Breakfast
The Kid Laroi
Arlo Parks
Saweetie
Megan Thee Stallion
Ingrid Andress
Phoebe Bridgers
Chika
Noah Cyrus
D Smoke
Kaytranada
Maggie Rogers
Rosalia
Tank and the Bangas
Yola
Chloe x Halle
Luke Combs
Greta Van Fleet
Margo Price
Bebe Rexha
Jorja Smith
Alessia Cara
Lil Uzi Vert
Julia Michaels
SZA
Chance the Rapper
Kelsea Ballerini
Chainsmokers
Maren Morris
AndersonPaak
Courtney Barnett
James Bay
Sam Hunt
Tori Kelly
Iggy Azalea
Bastille
Brandy Clark
James Blake
Hunter Hayes
Lumineers
The Band Perry
J Cole
Nicki Minaj
Skrillex
Esperanza Spalding
Florence  the Machine
Zac Brown Band
Keri Hilson
MGMT
Silversun Pickups
The Ting Tings
Duffy
Jonas Brothers
Jazmine Sullivan
Feist
Ledisi
Paramore
Carrie Underwood
Chris Brown
Imogen Heap
John Legend
Ciara
Fall Out Boy
Keane
Sugarland
Maroon 5
Joss Stone
Gretchen Wilson
50 Cent
Fountains of Wayne
Heather Headley
Sean Paul
Ashanti
Michelle Branch
Avril Lavigne
Nelly Furtado
David Gray
Linkin Park
Shelby Lynne
Brad Paisley
Papa Roach
Jill Scott
Sisqo
Christina Aguilera
Kid Rock
Britney Spears
Susan Tedeschi
Andrea Bocelli
Natalie Imbruglia
Fiona Apple
Erykah Badu
Puff Daddy
LeAnn Rimes
Jewel
No Doubt
The Tony Rich Project
Hootie  the Blowfish
Brandy
Ace of Base
Counting Crows
Crash Test Dummies
Toni Braxton
Belly
Blind Melon
Digable Planets
SWV
Arrested Development
Sophie B Hawkins
Kris Kross
Jon Secada
Marc Cohn
CC Music Factory
Color Me Badd
Black Crowes
Kentucky Headhunters
Lisa Stansfield
Milli Vanilli award later revoked and vacated
Neneh Cherry
Indigo Girls
Soul II Soul
Tone Loc
Brandi Carlile Featuring Lucius
Steve Lacy
Harry Styles
Bad Bunny
Samara Joy
Anitta
Omar Apollo
DOMi  JD Beck
Muni Long
Latto
Måneskin
Tobe Nwigwe
Molly Tuttle
Wet Leg
