year,musician_x,work,category,status,cleaned_musician,musician_y,ethnicity,shared_award,Column1,id,total_percentage,status/ethnicity
2022,Jon Batiste,We Are,album-of-the-year,winner,Jon Batiste,Jon Batiste,UR,,,1,0.6666666666666666,UR winner
2022,Tony Bennett & Lady Gaga,Love for Sale,album-of-the-year,nominee,Tony Bennett  Lady Gaga,Tony Bennett & Lady Gaga,white,,,2,0.6666666666666666,white nominee
2022,Justin Bieber,Justice,album-of-the-year,nominee,Justin Bieber,Justin Bieber,white,,,3,0.6666666666666666,white nominee
2022,Doja Cat,Planet Her,album-of-the-year,nominee,Doja Cat,Doja Cat,UR,,,4,0.6666666666666666,UR nominee
2022,Billie Eilish,Happier Than Ever,album-of-the-year,nominee,Billie Eilish,Billie Eilish,white,,,5,0.6666666666666666,white nominee
2022,H.E.R.,Back of My Mind,album-of-the-year,nominee,HER,H.E.R.,UR,,,6,0.6666666666666666,UR nominee
2022,Lil Nas X,Montero,album-of-the-year,nominee,Lil Nas X,Lil Nas X,UR,,,7,0.6666666666666666,UR nominee
2022,Olivia Rodrigo,Sour,album-of-the-year,nominee,Olivia Rodrigo,Olivia Rodrigo,UR,,,8,0.6666666666666666,UR nominee
2022,Taylor Swift,Evermore,album-of-the-year,nominee,Taylor Swift,Taylor Swift,white,,,9,0.6666666666666666,white nominee
2022,Kanye West,Donda,album-of-the-year,nominee,Kanye West,Kanye West,UR,,,10,0.6666666666666666,UR nominee
2021,Taylor Swift,Folklore,album-of-the-year,winner,Taylor Swift,Taylor Swift,white,,,11,0.5416666666666666,white winner
2021,Jhene Aiko,Chilombo,album-of-the-year,nominee,Jhene Aiko,Jhene Aiko,UR,,,12,0.5416666666666666,UR nominee
2021,Black Pumas,Black Pumas (Deluxe Edition),album-of-the-year,nominee,Black Pumas,Black Pumas,UR,,,13,0.5416666666666666,UR nominee
2021,Coldplay,Everyday Life,album-of-the-year,nominee,Coldplay,Coldplay,white,,,14,0.5416666666666666,white nominee
2021,Jacob Collier,Djesse Vol. 3,album-of-the-year,nominee,Jacob Collier,Jacob Collier,UR,,,15,0.5416666666666666,UR nominee
2021,Haim,Women in Music Pt. III,album-of-the-year,nominee,Haim,Haim,white,,,16,0.5416666666666666,white nominee
2021,Dua Lipa,Future Nostalgia,album-of-the-year,nominee,Dua Lipa,Dua Lipa,white,,,17,0.5416666666666666,white nominee
2021,Post Malone,Hollywood’s Bleeding,album-of-the-year,nominee,Post Malone,Post Malone,white,,,18,0.5416666666666666,white nominee
2020,"Where Do We Go?, Billie Eilish","When We All Fall Asleep, Where Do We Go?",album-of-the-year,winner,Where Do We Go Billie Eilish,"Where Do We Go?, Billie Eilish",white,,,19,0.5833333333333334,white winner
2020,Bon Iver,"i, i",album-of-the-year,nominee,Bon Iver,Bon Iver,white,,,20,0.5833333333333334,white nominee
2020,Lana Del Rey,Norman Fucking Rockwell,album-of-the-year,nominee,Lana Del Rey,Lana Del Rey,white,,,21,0.5833333333333334,white nominee
2020,H.E.R.,I Used to Know Her,album-of-the-year,nominee,HER,H.E.R.,UR,,,22,0.5833333333333334,UR nominee
2020,Ariana Grande,"Thank U, Next",album-of-the-year,nominee,Ariana Grande,Ariana Grande,white,,,23,0.5833333333333334,white nominee
2020,Lil Nas X,7,album-of-the-year,nominee,Lil Nas X,Lil Nas X,UR,,,24,0.5833333333333334,UR nominee
2020,Lizzo,Cuz I Love You (Deluxe),album-of-the-year,nominee,Lizzo,Lizzo,UR,,,25,0.5833333333333334,UR nominee
2020,Vampire Weekend,Father of the Bride,album-of-the-year,nominee,Vampire Weekend,Vampire Weekend,white,,,26,0.5833333333333334,white nominee
2019,Kacey Musgraves,Golden Hour,album-of-the-year,winner,Kacey Musgraves,Kacey Musgraves,white,,,27,0.5416666666666666,white winner
2019,Cardi B,Invasion of Privacy,album-of-the-year,nominee,Cardi B,Cardi B,UR,,,28,0.5416666666666666,UR nominee
2019,Brandi Carlile,"By the Way, I Forgive You",album-of-the-year,nominee,Brandi Carlile,Brandi Carlile,white,,,29,0.5416666666666666,white nominee
2019,Drake,Scorpion,album-of-the-year,nominee,Drake,Drake,UR,,,30,0.5416666666666666,UR nominee
2019,H.E.R.,H.E.R.,album-of-the-year,nominee,HER,H.E.R.,UR,,,31,0.5416666666666666,UR nominee
2019,Kendrick Lamar & others,Black Panther: The Album,album-of-the-year,nominee,Kendrick Lamar  others,Kendrick Lamar & others,UR,,,32,0.5416666666666666,UR nominee
2019,Post Malone,Beerbongs & Bentleys,album-of-the-year,nominee,Post Malone,Post Malone,white,,,33,0.5416666666666666,white nominee
2019,Janelle Monae,Dirty Computer,album-of-the-year,nominee,Janelle Monae,Janelle Monae,UR,,,34,0.5416666666666666,UR nominee
